"resource"	"collection"	"process"	"actor"	"obj"	"sub"	"date"	"value"	"unit"	"value_type"	"reference"	"source"	"description"
"303088ce-7f8e-11e3-bc66-f07bcb4eb64e"						"2011-01-11"	2.15	"kgCO2/kg"	"EC"	300	"Non-EU"	"Inventory of Carbon and Energy (ICE)"
"303088ce-7f8e-11e3-bc66-f07bcb4eb64e"						"2011-01-11"	2.21	"kgCO2e/kg"	"ECe"	300	"World"	"Inventory of Carbon and Energy (ICE)"
"303088ce-7f8e-11e3-bc66-f07bcb4eb64e"						"2011-01-11"	2.31	"kgCO2e/kg"	"ECe"	300	"Non-EU"	"Inventory of Carbon and Energy (ICE)"
"304dd1f4-7f8e-11e3-bc66-f07bcb4eb64e"	23			"resource"	"collection"	"2030-01-01"	2.32	"kt"	"D"	301	"World"	"Strategic Energy Technology scenario"
"304f71ee-7f8e-11e3-bc66-f07bcb4eb64e"	23			"resource"	"collection"	"2020-01-01"	2.35	"%"	"D/S"	301	"World"	"Strategic Energy Technology scenario"
"302ec2b4-7f8e-11e3-bc66-f07bcb4eb64e"						"2012-01-01"	2.4	"%"	"%Y"	303	"Dubbo, Australia"	
"303ad856-7f8e-11e3-bc66-f07bcb4eb64e"						"2011-01-11"	2.4	"MJ/kg"	"EE"	300	"World"	"Inventory of Carbon and Energy (ICE)"
"302c2fc2-7f8e-11e3-bc66-f07bcb4eb64e"						"2011-01-11"	2.42	"GWP/m^2"	"EC"	300	"World"	"Inventory of Carbon and Energy (ICE)"
"302a9194-7f8e-11e3-bc66-f07bcb4eb64e"						"2011-01-11"	2.46	"kgCO2/kg"	"EC"	300	"World"	"Inventory of Carbon and Energy (ICE)"
"30501e3c-7f8e-11e3-bc66-f07bcb4eb64e"	23			"resource"	"collection"	"2020-01-01"	2.47	"%"	"D/S"	301	"World"	"Strategic Energy Technology scenario"
"302a5b2a-7f8e-11e3-bc66-f07bcb4eb64e"						"2011-01-11"	2.52	"MJ/kg"	"FE"	300	"World"	"Inventory of Carbon and Energy (ICE)"
"30350ee4-7f8e-11e3-bc66-f07bcb4eb64e"						"2011-01-11"	2.54	"kgCO2e/kg"	"ECe"	300	"World"	"Inventory of Carbon and Energy (ICE)"
"303a2550-7f8e-11e3-bc66-f07bcb4eb64e"						"2011-01-11"	2.54	"kgCO2e/kg"	"ECe"	300	"World"	"Inventory of Carbon and Energy (ICE)"
"303cc44a-7f8e-11e3-bc66-f07bcb4eb64e"						"2011-01-11"	2.58	"kgCO2/kg"	"EC"	300	"European Union"	"Inventory of Carbon and Energy (ICE)"
"30346cbe-7f8e-11e3-bc66-f07bcb4eb64e"						"2011-01-11"	2.59	"kgCO2/kg"	"EC"	300	"European Union"	"Inventory of Carbon and Energy (ICE)"
"303cc44a-7f8e-11e3-bc66-f07bcb4eb64e"						"2011-01-11"	2.59	"kgCO2/kg"	"EC"	300	"European Union"	"Inventory of Carbon and Energy (ICE)"
"303d3cc2-7f8e-11e3-bc66-f07bcb4eb64e"						"2011-01-11"	2.6	"kgCO2/kg"	"EC"	300	"World"	"Inventory of Carbon and Energy (ICE)"
"30377652-7f8e-11e3-bc66-f07bcb4eb64e"						"2011-01-11"	2.61	"kgCO2/kg"	"EC"	300	"World"	"Inventory of Carbon and Energy (ICE)"
"302a9194-7f8e-11e3-bc66-f07bcb4eb64e"						"2011-01-11"	2.64	"kgCO2e/kg"	"ECe"	300	"World"	"Inventory of Carbon and Energy (ICE)"
"302c52cc-7f8e-11e3-bc66-f07bcb4eb64e"						"2011-01-11"	2.66	"kgCO2/kg"	"EC"	300	"World"	"Inventory of Carbon and Energy (ICE)"
"302c8eae-7f8e-11e3-bc66-f07bcb4eb64e"						"2011-01-11"	2.71	"kgCO2/kg"	"EC"	300	"European Union"	"Inventory of Carbon and Energy (ICE)"
"303226fc-7f8e-11e3-bc66-f07bcb4eb64e"						"2011-01-11"	2.71	"kgCO2/kg"	"EC"	300	"European Union"	"Inventory of Carbon and Energy (ICE)"
"303d3cc2-7f8e-11e3-bc66-f07bcb4eb64e"						"2011-01-11"	2.71	"kgCO2e/kg"	"ECe"	300	"World"	"Inventory of Carbon and Energy (ICE)"
"302c426e-7f8e-11e3-bc66-f07bcb4eb64e"						"2011-01-11"	2.73	"kgCO2/kg"	"EC"	300	"World"	"Inventory of Carbon and Energy (ICE)"
"303cc44a-7f8e-11e3-bc66-f07bcb4eb64e"						"2011-01-11"	2.74	"kgCO2e/kg"	"ECe"	300	"European Union"	"Inventory of Carbon and Energy (ICE)"
"303265fe-7f8e-11e3-bc66-f07bcb4eb64e"						"2011-01-11"	2.76	"kgCO2/kg"	"EC"	300	"World"	"Inventory of Carbon and Energy (ICE)"
"30346cbe-7f8e-11e3-bc66-f07bcb4eb64e"						"2011-01-11"	2.77	"kgCO2e/kg"	"ECe"	300	"European Union"	"Inventory of Carbon and Energy (ICE)"
"303cc44a-7f8e-11e3-bc66-f07bcb4eb64e"						"2011-01-11"	2.77	"kgCO2e/kg"	"ECe"	300	"European Union"	"Inventory of Carbon and Energy (ICE)"
"30501e3c-7f8e-11e3-bc66-f07bcb4eb64e"	23			"resource"	"collection"	"2011-01-11"	2.8	"kg/MW"	"D"	301	"World"	
"304c9384-7f8e-11e3-bc66-f07bcb4eb64e"						"2011-01-11"	2.8	"kgCO2/kg"	"EC"	300	"World"	"Inventory of Carbon and Energy (ICE)"
"303ecc72-7f8e-11e3-bc66-f07bcb4eb64e"						"2011-01-11"	2.82	"kgCO2/kg"	"EC"	300	"European Union"	"Inventory of Carbon and Energy (ICE)"
"303c1176-7f8e-11e3-bc66-f07bcb4eb64e"						"2011-01-11"	2.83	"kgCO2/kg"	"EC"	300	"European Union"	"Inventory of Carbon and Energy (ICE)"
"3034f648-7f8e-11e3-bc66-f07bcb4eb64e"						"2011-01-11"	2.84	"kgCO2/kg"	"EC"	300	"European Union"	"Inventory of Carbon and Energy (ICE)"
"302c52cc-7f8e-11e3-bc66-f07bcb4eb64e"						"2011-01-11"	2.85	"kgCO2e/kg"	"ECe"	300	"World"	"Inventory of Carbon and Energy (ICE)"
"302a5b2a-7f8e-11e3-bc66-f07bcb4eb64e"						"2011-01-11"	2.86	"MJ/kg"	"EE"	300	"World"	"Inventory of Carbon and Energy (ICE)"
"303226fc-7f8e-11e3-bc66-f07bcb4eb64e"						"2011-01-11"	2.87	"kgCO2e/kg"	"ECe"	300	"European Union"	"Inventory of Carbon and Energy (ICE)"
"302c8eae-7f8e-11e3-bc66-f07bcb4eb64e"						"2011-01-11"	2.89	"kgCO2e/kg"	"ECe"	300	"European Union"	"Inventory of Carbon and Energy (ICE)"
"304e5b74-7f8e-11e3-bc66-f07bcb4eb64e"	22			"resource"	"collection"	"2020-01-01"	2.91	"%"	"D/S"	301	"World"	"Strategic Energy Technology scenario"
"302c2fc2-7f8e-11e3-bc66-f07bcb4eb64e"						"2011-01-11"	2.91	"kgCO2e/kg"	"ECe"	300	"World"	"Inventory of Carbon and Energy (ICE)"
"302a5b2a-7f8e-11e3-bc66-f07bcb4eb64e"						"2011-01-11"	2.94	"MJ/kg"	"FE"	300	"World"	"Inventory of Carbon and Energy (ICE)"
