"pk"	"name"	"description"	"short_name"
"30484342-7f8e-11e3-bc66-f07bcb4eb64e"	"Light Water Reactors"		"LWR"
"3048560c-7f8e-11e3-bc66-f07bcb4eb64e"	"Heavy Water Reactors"		"HWR"
"3048662e-7f8e-11e3-bc66-f07bcb4eb64e"	"Boiling Water Reactors"		"BWR"
"304877d6-7f8e-11e3-bc66-f07bcb4eb64e"	"Pressurized Water Reactors"		"PWR"
"3048874e-7f8e-11e3-bc66-f07bcb4eb64e"	"Pressurized Water Reactors"		"PWR"
"3048961c-7f8e-11e3-bc66-f07bcb4eb64e"	"Gas-Cooled Reactors"		"GCR"
"3048a706-7f8e-11e3-bc66-f07bcb4eb64e"	"High-Temperature Gas-Cooled Reactors"		"HT-GC"
"3048b5de-7f8e-11e3-bc66-f07bcb4eb64e"	"European Pressurized Reactors"		"EPR"
"3048c858-7f8e-11e3-bc66-f07bcb4eb64e"	"European Pressurized Reactors"		"EPR"
"3048d8c0-7f8e-11e3-bc66-f07bcb4eb64e"	"Supercritical Water Reactors"		"SCWR"
"3048ed24-7f8e-11e3-bc66-f07bcb4eb64e"	"Supercritical Water Reactors"		"SCWR"
"3048fde6-7f8e-11e3-bc66-f07bcb4eb64e"	"Heavy Water Gas-Cooled Reactor"		
"30490cbe-7f8e-11e3-bc66-f07bcb4eb64e"	"Advanced gas-cooled reactor"		"AGCR"
"30491e20-7f8e-11e3-bc66-f07bcb4eb64e"	"Gas-cooled fast reactor"		"GCFR"
"30492d0c-7f8e-11e3-bc66-f07bcb4eb64e"	"Gas turbine modular helium reactor"		"GTMHR"
"30493dec-7f8e-11e3-bc66-f07bcb4eb64e"	"High temperature gas cooled reactor"		"HT-GCR"
"30494d32-7f8e-11e3-bc66-f07bcb4eb64e"	"Pebble bed reactor "		"PBR"
"30495f02-7f8e-11e3-bc66-f07bcb4eb64e"	"Pebble bed modular reactor"		"PBMR"
"3049715e-7f8e-11e3-bc66-f07bcb4eb64e"	"Very high temperature reactor"		"VHTR"
"304980b8-7f8e-11e3-bc66-f07bcb4eb64e"	"Pressurized Heavy Water Reactors"		"PHWR"
"3049953a-7f8e-11e3-bc66-f07bcb4eb64e"	"Carbon Capture and Storage"		"CCS"
"3049a480-7f8e-11e3-bc66-f07bcb4eb64e"	"Post-Combustion Carbon Capture and Storage"		"Post-Combustion CCS"
"3049b560-7f8e-11e3-bc66-f07bcb4eb64e"	"Pre-Combustion Carbon Capture and Storage"		"Pre-Combustion CCS"
"3049c460-7f8e-11e3-bc66-f07bcb4eb64e"	"Oxyfuel-Combustion Carbon Capture and Storage"		"Oxyfuel-Combustion CCS"
"3049d4aa-7f8e-11e3-bc66-f07bcb4eb64e"	"Combustion Generators"		
"3049e3e6-7f8e-11e3-bc66-f07bcb4eb64e"	"Fossil Fuel Generators"		
"3049f2aa-7f8e-11e3-bc66-f07bcb4eb64e"	"Coal Generators"		
"304a059c-7f8e-11e3-bc66-f07bcb4eb64e"	"Oil Generators"		
"304a15aa-7f8e-11e3-bc66-f07bcb4eb64e"	"Biofuel Generators"		
"304a289c-7f8e-11e3-bc66-f07bcb4eb64e"	"Natural Gas Generators"		
"304a38f0-7f8e-11e3-bc66-f07bcb4eb64e"	"Hydroelectric Generator"		
