"nesi.pk"	"nesi.resource"	"nesi.valuetype"	"nesi.value"	"nesi.unit"	"nesi.location"	"nesi.with_property"	"nesi.reference"	"nesi.infotype"
320	195046	"FE"	36.7	"MJ/kg"				
321	196716	"EE"	31.7	"MJ/kg"				
322	196716	"EC"	1.65	"kgCO_2/kg"				
323	196716	"ECe"		"kgCO_2e/kg"				
324	201058	"EE"	0.1	"MJ/kg"				
325	201058	"EE"	1	"MJ/kg"				
326	201058	"EC"	0.006	"kgCO_2/kg"				
327	201058	"EC"	0.058	"kgCO_2/kg"				
328	201058	"ECe"	0.007	"kgCO_2e/kg"				
329	201058	"ECe"	0.063	"kgCO_2e/kg"				
330	202186	"EE"	217	"MJ/kg"	"World"			
331	202186	"EE"	28	"MJ/kg"	"World"			
332	202186	"EC"	8.26	"kgCO_2/kg"	"World"			
333	202186	"EC"	11.5	"kgCO_2/kg"	"World"			
334	202186	"EC"	1.67	"kgCO_2/kg"	"World"			
335	202186	"ECe"	9.18	"kgCO2e/kg"	"World"			
336	202186	"ECe"	12.8	"kgCO2e/kg"	"World"			
337	202186	"ECe"	1.79	"kgCO2e/kg"	"World"			
338	202312	"EE"	1.11	"MJ/kg"				
339	202312	"EC"	0.171	"kgCO_2/kg"				
340	202312	"ECe"	0.182	"kgCO_2e/kg"				
341	203427	"EE"	22.6	"MJ/kg"	"European Union"			
342	203427	"EE"	40	"MJ/kg"	"European Union"			
343	203427	"EE"	29.5	"MJ/kg"	"Non-EU"			
344	203427	"EE"	28.5	"MJ/kg"	"World"			
345	203427	"EC"	1.45	"kgCO_2/kg"	"European Union"			
346	203427	"EC"	2.84	"kgCO_2/kg"	"European Union"			
347	203427	"EC"	2	"kgCO_2/kg"	"Non-EU"			
348	203427	"EC"	1.92	"kgCO_2/kg"	"World"			
349	203427	"ECe"	1.54	"kgCO2e/kg"	"European Union"			
350	203427	"ECe"	3.01	"kgCO2e/kg"	"European Union"			
351	203427	"ECe"	2.12	"kgCO2e/kg"	"Non-EU"			
352	203427	"ECe"	2.03	"kgCO2e/kg"	"World"			
353	204812	"EC"	2.12	"GWP/m^2"				
354	204812	"ECe"	2.54	"kgCO_2e/kg"				
355	206265	"EE"	0.7	"MJ/kg"				
356	206265	"EC"	0.093	"kgCO_2/kg"				
357	206265	"ECe"	0.1	"kgCO_2e/kg"				
358	208222	"EE"	13.1	"MJ/kg"	"European Union"			
359	208222	"EC"	0.68	"kgCO_2/kg"	"European Union"			
360	208222	"ECe"	0.72	"kgCO2e/kg"	"European Union"			
361	209999	"EE"	88	"MJ/kg"				
362	209999	"EC"	2.98	"kgCO_2/kg"				
363	209999	"ECe"		"kgCO_2e/kg"				
364	209999	"FE"	32	"MJ/kg"				
365	215541	"EE"	155	"MJ/kg"	"World"			
366	216106	"EC"	3.13	"GWP/m^2"				
367	216106	"ECe"	3.76	"kgCO_2e/kg"				
368	216758	"EE"	1.34	"MJ/kg"				
369	216758	"EC"	0.2	"kgCO_2/kg"				
370	216758	"ECe"	0.213	"kgCO_2e/kg"				
371	221640	"EE"	0.68	"MJ/kg"				
372	221640	"EE"	0.83	"MJ/kg"				
373	221640	"EE"	0.65	"MJ/kg"				
374	221640	"EE"	0.56	"MJ/kg"				
375	221640	"EC"	0.06	"kgCO_2/kg"				
376	221640	"EC"	0.082	"kgCO_2/kg"				
377	221640	"EC"	0.045	"kgCO_2/kg"				
378	221640	"EC"	0.039	"kgCO_2/kg"				
379	221640	"ECe"	0.061	"kgCO_2e/kg"				
380	221640	"ECe"	0.084	"kgCO_2e/kg"				
381	221640	"ECe"	0.047	"kgCO_2e/kg"				
382	221640	"ECe"	0.041	"kgCO_2e/kg"				
383	229668	"EE"	0.97	"MJ/kg"				
384	229668	"EC"	0.146	"kgCO_2/kg"				
385	229668	"ECe"	0.156	"kgCO_2e/kg"				
386	233218	"EC"		"kgCO_2/kg"			169	
387	233218	"ECe"		"kgCO_2e/kg"			169	
388	233218	"EE"	30.8	"MJ/kg"			169	
389	233375	"EE"	6.75	"MJ/kg"				
390	233375	"EC"	0.38	"kgCO_2/kg"				
391	233375	"ECe"	0.39	"kgCO_2e/kg"				
392	237673	"EE"	3.5	"MJ_{bio}"			150	
393	237673	"EC"	0.31	"KgCO_{2"	"fossil}/kg"			150
394	237673	"EC"	0.32	"KgCO_{2"	"bio}/kg"			150
395	237673	"ECe"	0.33	"KgCO_{2e"	"fossil}/kg"			150
396	237673	"ECe"	0.32	"KgCO_{2e"	"fossil}/kg"			150
397	237673	"EE"	9.5	"MJ_{fossil}/kg"				
398	248586	"EE"	7.2	"MJ/kg"			114	
399	248586	"EC"	0.52	"kgCO_2/kg"			114	
400	248586	"ECe"		"kgCO_2e/kg"			114	
401	249614	"EE"	10	"MJ/kg"			114	
402	249614	"EC"	0.52	"kgCO_2/kg"			114	
403	249614	"ECe"		"kgCO_2e/kg"			114	
404	256169	"EE"	39.5	"MJ/kg"			2	
405	256169	"EC"	1.7	"kgCO_2/kg"			2	
406	256169	"ECe"		"kgCO_2e/kg"			2	
407	257992	"EE"	15	"MJ/kg"				
408	257992	"EC"	0.86	"kgCO_2/kg"				
409	257992	"ECe"	0.91	"kgCO_2e/kg"				
410	259486	"EE"	77.2	"MJ/kg"				
411	259486	"EC"	2.61	"kgCO_2/kg"				
412	259486	"ECe"	3.1	"kgCO_2e/kg"				
413	259486	"FE"	28.1	"MJ/kg"				
414	261153	"EE"	1.33	"MJ/kg"				
415	261153	"EC"	0.208	"kgCO_2/kg"				
416	261153	"ECe"	0.221	"kgCO_2e/kg"				
417	278722	"EE"	95.3	"MJ/kg"				
418	278722	"EC"	3.05	"kgCO_2/kg"				
419	278722	"ECe"	3.76	"kgCO_2e/kg"				
420	278722	"FE"	48.6	"MJ/kg"				
421	281546	"EE"	1.5	"MJ/kg"				
422	281546	"EC"	0.087	"kgCO_2/kg"				
423	281546	"ECe"	0.09	"kgCO_2e/kg"				
424	287224	"EE"	5.6	"MJ_{bio}"				
425	287224	"EC"	0.54	"KgCO_{2"	"fossil}/kg"			
426	287224	"EC"	0.51	"KgCO_{2"	"bio}/kg"			
427	287224	"ECe"	0.58	"KgCO_{2e"	"fossil}/kg"			
428	287224	"ECe"	0.51	"KgCO_{2e"	"fossil}/kg"			
429	287224	"EE"	16	"MJ_{fossil}/kg"				
430	291150	"EE"	0.85	"MJ/kg"				
431	291150	"EC"	0.127	"kgCO_2/kg"				
